year	locale	beforeMonth	month	beforeDay	day	hour	ymdt	duration	unknown	longitude	latitude	elevation	relativeAltitude	continentCode	countryCode	area	locationFlags	miscellaneousFlags	typeOfUfoCraftFlags	aliensMonstersFlags	apparentUfoOccupantActivitiesFlags	placesVisitedAndThingsAffectedFlags	evidenceAndSpecialEffectsFlags	miscellaneousDetailsFlags	description	location	title	ref	refIndex	strangeness	credibility
1823	3	0	8	0	7	102	255	2	0	86.0111111110251	40.03333333329331	242	999	0	2	IND	67	0	4	128	0	2	48	144	"SPIRALS
SHOTS HEARD
DROPS METEORITE!"	NOBLESVILLE,IN	12M SQUARE CLOUD/CLR SKY	232	77	7	7
1824	17	1	2	0	11	0	252	30	0	0	89.99999999991	-99	999	11	2	UNK	128	65	8	128	64	0	32	0	/OBSERVATORY RECORD	DARK LIMB of MOON	LIGHT FLASHES INTERMITTENTLY/30min	85	126	6	5
1824	17	1	10	0	20	30	255	30	0	0	89.99999999991	-99	999	11	2	MCP	194	65	2	128	0	0	0	0	"BRITE OBJ 400X200 km. WIDE!
>>MT COPERNICUS"	DARK PART/MOON	ASTRONOMER	28	67	6	8
1825	14	0	8	0	12	21	255	10	0	157.999999999842	21.333333333312	0	0	2	4	HWI	77	64	65	128	0	128	0	128	RND GLOWING OBJ RISES/SEA CLOUDS & DESCENDS TWICE	SEA nr HAWAII	A.BLOXAM	44	29	7	5
1828	2	0	5	0	28	60	253	15	0	-11.1222222222111	49.46666666661721	-99	999	3	3	BVR	195	64	128	76	16	16	64	0	"APPARENTLY RAISED/ALIENS
amazing. see ref"	NURNBERG,GERM	KASPAR HAUSER AGE 17	182	66	9	5
1828	9	0	10	0	0	0	228	50	0	79.29999999992071	42.3111111110688	396	3	0	2	NYK	67	64	4	128	0	0	64	0	BRILL.12M SQR/LITE GUIDES HIM BACK TO ROAD TWICE!	CASSADAGA SWAMP,NY	MAN LOST	160	140	9	5
1832	17	1	7	0	4	0	252	2	0	0	89.99999999991	-99	999	11	2	MCR	192	65	8	128	64	0	32	0	"DOT+DASH FLASHES/MARE CRISIUM
BLOTS+RAYS/LITE
/r223p51"	MOON	ASTRONOMER WEBB	223	51	6	6
1836	2	0	7	0	0	0	212	1	0	-20.1555555555354	46.2444444443982	-99	999	4	3	CSG	195	64	1	4	0	16	64	128	"LADY-IN-WHITE APPEARS+VANISHES
LOCAL UPROAR"	SZEGED,HUNGARY	SPHERICAL LITES	84	198	8	4
1842	3	0	6	0	30	72	253	2	0	2.999999999997	56.3222222221659	48	999	3	1	SCT	71	64	128	128	0	0	32	128	"CLOTHES FLY OFF LINES
SOME DROP
OTHERS FLY AWAY!"	CUPAR,FIFE,SCOTLAND	BIG BOOM	107	89	5	6
1842	2	0	7	1	0	0	213	1	0	-55.0888888888338	41.8333333332915	-99	999	9	1	ORE	195	64	2	128	1	0	48	128	"PERFECTLY HEXAGONAL METAL PIECES FALL!
p280"	ORENBURG,RUS	ODD CLOUD HOVERS	84	24	7	7
